job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details,salary_available,avg_salary,city,skills_list
JP Morgan Chase - Client Data Analyst (4-8 yrs),JP Morgan Chase,4-8 Yrs,4.0,8.0,Not Disclosed,0.0,0.0,Hyderabad / Secunderabad,3.0,iimjobs,4.1,5300.0,"Banking, KYC, Banking Operations",No,0.0,Hyderabad,"['Banking', 'Kyc', 'Banking Operations']"
Data Analyst - Bangalore,Schneider Electric,5-10 Yrs,5.0,10.0,₹ 8 - 16L/yr,800000.0,1600000.0,"Bangalore / Bengaluru, Bangalore Rural",4.0,Naukri,4.2,3500.0,"ERP, SAP, Data Analysis",Yes,1200000.0,Bengaluru,"['Erp', 'Sap', 'Data Analysis']"
Senior IT ATLAS Data Analyst and Integration Specialist,SAP Labs India Pvt. Ltd.,7-11 Yrs,7.0,11.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,7.0,Naukri,4.3,1500.0,"data quality, Data analysis, quality management",No,0.0,Bengaluru,"['Data Quality', 'Data Analysis', 'Quality Management']"
Consultant Data Analyst,Pfizer,2-6 Yrs,2.0,6.0,Not Disclosed,0.0,0.0,Mumbai,3.0,Naukri,4.1,1700.0,"Power Bi, Commercial Operations, Data Management",No,0.0,Mumbai,"['Power Bi', 'Commercial Operations', 'Data Management']"
Senior Data Analyst - Retail Liabilities,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,Mumbai,5.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Manager Technology",No,0.0,Mumbai,"['Test Strategy', 'Analytical', 'Manager Technology']"
JP Morgan Chase - Client Data Analyst (4-9 yrs),JP Morgan Chase,4-9 Yrs,4.0,9.0,Not Disclosed,0.0,0.0,Hyderabad / Secunderabad,7.0,iimjobs,4.1,5300.0,"KYC, AML, Banking",No,0.0,Hyderabad,"['Kyc', 'Aml', 'Banking']"
Principal Business Data Analyst,GlaxoSmithKline Pharmaceuticals Limited,5-9 Yrs,5.0,9.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,2.0,Naukri,4.2,1600.0,"Procurement, Relationship management, Computer science",No,0.0,Bengaluru,"['Procurement', 'Relationship Management', 'Computer Science']"
"SENIOR, DATA ANALYST",Walmart Labs,2-6 Yrs,2.0,6.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,2.0,Naukri,4.0,2100.0,"Supply chain, Data analysis, Data modeling",No,0.0,Bengaluru,"['Supply Chain', 'Data Analysis', 'Data Modeling']"
Data Analysts in Supply chain planning,Hewlett-Packard,6-8 Yrs,6.0,8.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,5.0,Naukri,4.2,3500.0,"Power Bi, Supply chain Planning, Tableau",No,0.0,Bengaluru,"['Power Bi', 'Supply Chain Planning', 'Tableau']"
Data Analyst CX,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,"Chennai, Pune, New Delhi
													+4 more",9.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Banking",No,0.0,Chennai,"['Test Strategy', 'Analytical', 'Banking']"
Data Analyst CX,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,"Chennai, Pune, New Delhi
													+4 more",9.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Banking",No,0.0,Chennai,"['Test Strategy', 'Analytical', 'Banking']"
Data Analyst - Cx,IDFC FIRST Bank,2-5 Yrs,2.0,5.0,Not Disclosed,0.0,0.0,"Chennai, Pune, New Delhi
													+4 more",9.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Banking",No,0.0,Chennai,"['Test Strategy', 'Analytical', 'Banking']"
Customer Master Data Analyst,Genpact,2-6 Yrs,2.0,6.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,3.0,Naukri,3.9,27000.0,"Mdg, CMD, Master Data",No,0.0,Bengaluru,"['Mdg', 'Cmd', 'Master Data']"
"Senior, Data Analyst",Walmart Labs,5-6 Yrs,5.0,6.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,4.0,Naukri,4.0,2100.0,"Computer science, Data analysis, MS SQL",No,0.0,Bengaluru,"['Computer Science', 'Data Analysis', 'Ms Sql']"
Data Analyst,Reliance Retail,3-8 Yrs,3.0,8.0,Not Disclosed,0.0,0.0,Mumbai,4.0,Naukri,4.0,19600.0,"Power Bi, MIS, Data Analysis",No,0.0,Mumbai,"['Power Bi', 'Mis', 'Data Analysis']"
Data Analyst- PSP Transformation,Faurecia,4-6 Yrs,4.0,6.0,Not Disclosed,0.0,0.0,Pune,3.0,Naukri,4.0,1100.0,"RPA, Power BI, Power Apps",No,0.0,Pune,"['Rpa', 'Power Bi', 'Power Apps']"
Senior Data Analyst,Optum Global Solutions (India) Private Limited,12-16 Yrs,12.0,16.0,Not Disclosed,0.0,0.0,Bangalore / Bengaluru,6.0,Naukri,4.0,3500.0,"data warehouse, Power BI, Data Analysis",No,0.0,Bengaluru,"['Data Warehouse', 'Power Bi', 'Data Analysis']"
Senior Data Analyst - Cx,IDFC FIRST Bank,3-7 Yrs,3.0,7.0,Not Disclosed,0.0,0.0,"Chennai, Pune, New Delhi
													+4 more",11.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Manager Technology",No,0.0,Chennai,"['Test Strategy', 'Analytical', 'Manager Technology']"
Data Analyst,Amazon,2-4 Yrs,2.0,4.0,₹ 1.8 - 7L/yr (AmbitionBox estimate),180000.0,700000.0,"Delhi/Ncr, Bangalore / Bengaluru",11.0,Naukri,4.1,21700.0,"AWS technologies, Excel, SQL",Yes,440000.0,Delhi,"['Aws Technologies', 'Excel', 'Sql']"
Retail Data Analyst,IDFC FIRST Bank,2-5 Yrs,2.0,5.0,Not Disclosed,0.0,0.0,Mumbai,12.0,Naukri,4.5,2300.0,"Stress testing, Audit compliance, Regulatory reporting",No,0.0,Mumbai,"['Stress Testing', 'Audit Compliance', 'Regulatory Reporting']"
Senior Data Analyst-Credit Cards,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,Mumbai,12.0,Naukri,4.5,2300.0,"Usage, Test strategy, Analytical",No,0.0,Mumbai,"['Usage', 'Test Strategy', 'Analytical']"
Senior Data Analyst - Cx,IDFC FIRST Bank,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,Mumbai,12.0,Naukri,4.5,2300.0,"Test strategy, Analytical, Senior Data Analyst",No,0.0,Mumbai,"['Test Strategy', 'Analytical', 'Senior Data Analyst']"
